,time_min,cgm,insulin_U,meal_g
1729,1729.0,150.645,0.0203965,0.0
1730,1730.0,150.521,0.0203965,0.0
1731,1731.0,150.303,0.0203965,0.0
1732,1732.0,149.991,0.0203965,0.0
1733,1733.0,149.586,0.0203965,0.0
1734,1734.0,149.087,0.0203965,0.0
1735,1735.0,148.494,0.0203965,0.0
1736,1736.0,147.808,0.0203965,0.0
1737,1737.0,147.028,0.0203965,0.0
1738,1738.0,146.155,0.0203965,0.0
1739,1739.0,145.188,0.0203965,0.0
1740,1740.0,144.127,0.0203965,0.0
1741,1741.0,143.118,0.0203965,0.0
1742,1742.0,142.158,0.0203965,0.0
1743,1743.0,141.25,0.0203965,0.0
1744,1744.0,140.392,0.0203965,0.0
1745,1745.0,139.585,0.0203965,0.0
1746,1746.0,138.829,0.0203965,0.0
1747,1747.0,138.123,0.0203965,0.0
1748,1748.0,137.468,0.0203965,0.0
1749,1749.0,136.864,0.0203965,0.0
1750,1750.0,136.311,0.0203965,0.0
1751,1751.0,135.808,0.0203965,0.0
1752,1752.0,135.356,0.0203965,0.0
1753,1753.0,134.954,0.0203965,0.0
1754,1754.0,134.603,0.0203965,0.0
1755,1755.0,134.303,0.0203965,0.0
1756,1756.0,134.022,0.0203965,0.0
1757,1757.0,133.759,0.0203965,0.0
1758,1758.0,133.515,0.0203965,0.0
1759,1759.0,133.289,0.0203965,0.0
1760,1760.0,133.082,0.0203965,0.0
1761,1761.0,132.894,0.0203965,0.0
1762,1762.0,132.725,0.0203965,0.0
1763,1763.0,132.574,0.0203965,0.0
1764,1764.0,132.441,0.0203965,0.0
1765,1765.0,132.327,0.0203965,0.0
1766,1766.0,132.232,0.0203965,0.0
1767,1767.0,132.156,0.0203965,0.0
1768,1768.0,132.098,0.0203965,0.0
1769,1769.0,132.059,0.0203965,0.0
1770,1770.0,132.038,0.0203965,0.0
1771,1771.0,131.946,0.0203965,0.0
1772,1772.0,131.782,0.0203965,0.0
1773,1773.0,131.546,0.0203965,0.0
1774,1774.0,131.239,0.0203965,0.0
1775,1775.0,130.861,0.0203965,0.0
1776,1776.0,130.411,0.0203965,0.0
1777,1777.0,129.889,0.0203965,0.0
1778,1778.0,129.295,0.0203965,0.0
1779,1779.0,128.631,0.0203965,0.0
1780,1780.0,127.894,0.0203965,0.0
1781,1781.0,127.086,0.0203965,0.0
1782,1782.0,126.206,0.0203965,0.0
1783,1783.0,125.255,0.0203965,0.0
1784,1784.0,124.232,0.0203965,0.0
1785,1785.0,123.137,0.0203965,0.0
1786,1786.0,122.226,0.0203965,0.0
1787,1787.0,121.498,0.0203965,0.0
1788,1788.0,120.954,0.0203965,0.0
1789,1789.0,120.592,0.0203965,0.0
1790,1790.0,120.415,0.0203965,0.0
1791,1791.0,120.42,0.0203965,0.0
1792,1792.0,120.61,0.0203965,0.0
1793,1793.0,120.982,0.0203965,0.0
1794,1794.0,121.538,0.0203965,0.0
1795,1795.0,122.277,0.0203965,0.0
1796,1796.0,123.199,0.0203965,0.0
1797,1797.0,124.305,0.0203965,0.0
1798,1798.0,125.594,0.0203965,0.0
1799,1799.0,127.067,0.0203965,0.0
1800,1800.0,128.723,0.0203965,0.0
1801,1801.0,130.271,0.0203965,0.0
1802,1802.0,131.71,0.0203965,0.0
1803,1803.0,133.041,0.0203965,0.0
1804,1804.0,134.264,0.0203965,0.0
1805,1805.0,135.379,0.0203965,0.0
1806,1806.0,136.386,0.0203965,0.0
